Building_ID,Building_Name,Latitude,Longitude,Building RSU,RFS_Status,Location Type,Total HPs,Total Spare,Actual Util Count,Util %,Final Tagging
20031,Saraf Chaudhary Nagar_KNS,19.20881006,72.86448676,A7 Saraf Chaudhary Nagar_KNS,RFS,High-rise,24,16,8,33%,Rest
20031,Saraf Chaudhary Nagar_KNS,19.20881006,72.86448676,A8 Saraf Chaudhary Nagar_KNS,RFS,High-rise,40,27,13,33%,Rest
33052,Aabiel Heights_BD0,19.29268078,72.85041783,Aabiel Heights_BD0,RFS,High-Rise,160,74,86,54%,P1
32999,Aabiel Paradise_XYU,19.29278505,72.84774333,Aabiel Paradise_XYU,RFS,High-rise,40,33,7,18%,Rest
192661,Aadeshwar Apartment_2RG,19.01344001,72.83138917,Aadeshwar Apartment_2RG,RFS,High-rise,16,15,1,6%,Rest
131123,Aadeshwar Building_1SV,19.23684876,72.85561054,Aadeshwar Building Wing-A_1SV,RFS,High-rise,16,16,0,0%,Zero utilised
131123,Aadeshwar Building_1SV,19.23684876,72.85561054,Aadeshwar Building Wing-B_1SV,RFS,High-rise,8,5,3,38%,Rest
46632,Aadharshila CHS_0A9,19.04445826,73.07192347,Aadharshila CHS A_0A9,RFS,GHS,24,21,3,13%,Rest
46632,Aadharshila CHS_0A9,19.04445826,73.07192347,Aadharshila CHS B_0A9,RFS,GHS,16,15,1,6%,Rest
102483,Aadharshilla Industrial Estate_1I9,19.26325865,72.86998295,Aadharshilla Industrial Estate_1I9,RFS,GHS,80,80,0,0%,Zero utilised
17692,Vasant Leela Complex_THZ,19.25602596,72.97853783,Aadhar-Vasant Leela Complex Complex_THZ,RFS,High-rise,32,18,14,44%,Rest
16329,AADI ALLURE_14J,19.12989623,72.93838397,AADI ALLURE A WING (ACACIA)_14J,RFS,High-rise,88,81,7,8%,Rest
16329,AADI ALLURE_14J,19.12989623,72.93838397,AADI ALLURE B WING (BEGONIA)_14J,RFS,High-rise,88,82,6,7%,Rest
16329,AADI ALLURE_14J,19.12989623,72.93838397,AADI ALLURE C WING (CAMELLIA)_14J,RFS,High-rise,80,75,5,6%,Rest
16329,AADI ALLURE_14J,19.12989623,72.93838397,AADI ALLURE CLUB HOUSE_14J,RFS,High-rise,8,8,0,0%,Zero utilised
16329,AADI ALLURE_14J,19.12989623,72.93838397,AADI ALLURE D WING (DAHLIA)_14J,RFS,High-rise,96,87,9,9%,Rest
